English Name,Chinese Name,Count
Furina,芙宁娜,22
Raiden Shogun,雷电将军,12
Venti,温迪,11
Shenhe,申鹤,10
Kamisato Ayaka,神里绫华,9
Nahida,纳西妲,9
Tartaglia,达达利亚,8
Kinich,基尼奇,8
Xiao,魈,8
Yae Miko,八重神子,7
Ganyu,甘雨,7
Hu Tao,胡桃,7
Frieren,芙莉莲,7
Lumine,荧,7
Wanderer,流浪者,7
Zhongli,钟离,6
Klee,可莉,6
Kaito Kid,怪盗基德,6
Rem,雷姆,5
Kaedehara Kazuha,枫原万叶,5
Arlecchino,阿蕾奇诺,4
Lynette,琳妮特,4
Sangonomiya Kokomi,珊瑚宫心海,4
Yao,瑶,4
Haibara Ai,灰原哀,4
Varesa,瓦雷莎,4
Kaveh,卡维,4
Neuvillette,那维莱特,3
Lyney,林尼,3
Sigewinne,希格雯,3
Navia,娜维娅,3
Platelet,血小板,3
Mouri Ran,毛利兰,3
Nilou,妮露,2
Il Capitano,卡皮塔诺,2
Sun Wukong (Monkey King),孙悟空,2
Yoimiya,宵宫,2
Charlotte,夏洛蒂,2
Tighnari,提纳里,2
Yumemizuki Mizuki,梦见月瑞希,2
Mavuika,玛薇卡,2
Kudo Shinichi,工藤新一,2
Keqing,刻晴,2
Ying,影,2
Citlali,茜特菈莉,2
Hydro Abyss Mage,水深渊法师,2
Himmel,辛美尔,2
Faruzan,珐露珊,2
Dyadia,少司缘,2
Kamisato Ayato,神里绫人,1
Ororon,欧洛伦,1
Hilichurl,丘丘人,1
Steve,史蒂夫,1
Chasca,恰斯卡,1
Aether,空,1
Katheryne,凯瑟琳,1
Spina di Rosula,刺玫会,1
Clorinde,克洛琳德,1
Cyno,赛诺,1
Eula,优菈,1
Chongyun,重云,1
Yaoyao,瑶瑶,1
Barbara,芭芭拉,1
Mualani,玛拉妮,1
Focalors,芙卡洛斯,1
Xilonen,希诺宁,1
Collei,柯莱,1
Villager,村民,1
Fern,菲伦,1
Ram,拉姆,1
Xiangling,香菱,1
Sucrose,砂糖,1
Kirara,绮良良,1
Skirk,丝柯克,1
Marco Polo,马可波罗,1
Cryo Abyss Mage,冰深渊法师,1
Logger Vick,光头强,1
Wang Zhaojun,王昭君,1
Furuya Rei,降谷零,1
Suzuki Sonoko,铃木园子,1
Touyama Kazuha,远山和叶,1
Edogawa Conan,江户川柯南,1
Vermouth,贝尔摩德,1
Xingqiu,行秋,1
Lady Sun,孙尚香,1
